dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,fastdepth_wls$dispatch_0_V256D128_rvv_conv2d_s8_N1xIC3xIH128xIW128xOC4xOH64xOW64xKH3xKW3xSH2xSW2xPH1xPW1,,,1.472928,ms,1472928.000000,0,,firesim,conv2d_s8,N=1;IC=3;IH=128;IW=128;OC=4;OH=64;OW=64;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,1472928,1,,
1,fastdepth_wls$dispatch_1_V256D128_rvv_conv2d_s8_N1xIC3xIH128xIW128xOC4xOH64xOW64xKH3xKW3xSH2xSW2xPH1xPW1,,,1.439036,ms,1439036.000000,0,,firesim,conv2d_s8,N=1;IC=3;IH=128;IW=128;OC=4;OH=64;OW=64;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,1439036,1,,
2,fastdepth_wls$dispatch_2_V256D128_rvv_relu6_s8_n16384,,,0.003589,ms,3589.000000,0,,firesim,relu6_s8,n=16384,3589,1,,
3,fastdepth_wls$dispatch_3_V256D128_rvv_relu6_s8_n16384,,,0.003193,ms,3193.000000,0,,firesim,relu6_s8,n=16384,3193,1,,
4,fastdepth_wls$dispatch_4_V256D128_rvv_depthwise_conv2d_s8_N1xIC1xIH64xIW64xOC8xOH64xOW64xKH3xKW3xSH1xSW1xPH1xPW1xDH1xDW1xgroups8,,,0.953782,ms,953782.000000,0,,firesim,depthwise_conv2d_s8,N=1;IC=1;IH=64;IW=64;OC=8;OH=64;OW=64;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1;DH=1;DW=1;groups=8,953782,1,,
5,fastdepth_wls$dispatch_5_V256D128_rvv_relu6_s8_n16384,,,0.003566,ms,3566.000000,0,,firesim,relu6_s8,n=16384,3566,1,,
6,fastdepth_wls$dispatch_6_V256D128_rvv_relu6_s8_n16384,,,0.003417,ms,3417.000000,0,,firesim,relu6_s8,n=16384,3417,1,,
7,fastdepth_wls$dispatch_7_V256D128_rvv_conv2d_s8_N1xIC8xIH64xIW64xOC4xOH64xOW64xKH1xKW1xSH1xSW1xPH0xPW0,,,1.018582,ms,1018582.000000,0,,firesim,conv2d_s8,N=1;IC=8;IH=64;IW=64;OC=4;OH=64;OW=64;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1018582,1,,
8,fastdepth_wls$dispatch_8_V256D128_rvv_conv2d_s8_N1xIC8xIH64xIW64xOC4xOH64xOW64xKH1xKW1xSH1xSW1xPH0xPW0,,,1.018062,ms,1018062.000000,0,,firesim,conv2d_s8,N=1;IC=8;IH=64;IW=64;OC=4;OH=64;OW=64;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1018062,1,,
9,fastdepth_wls$dispatch_9_V256D128_rvv_add_s8_n16384,,,0.304821,ms,304821.000000,0,,firesim,add_s8,n=16384,304821,1,,
10,fastdepth_wls$dispatch_10_V256D128_rvv_add_s8_n16384,,,0.307596,ms,307596.000000,0,,firesim,add_s8,n=16384,307596,1,,
11,fastdepth_wls$dispatch_11_V256D128_rvv_conv2d_s8_N1xIC8xIH64xIW64xOC24xOH64xOW64xKH1xKW1xSH1xSW1xPH0xPW0,,,1.386339,ms,1386339.000000,0,,firesim,conv2d_s8,N=1;IC=8;IH=64;IW=64;OC=24;OH=64;OW=64;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1386339,1,,
12,fastdepth_wls$dispatch_12_V256D128_rvv_conv2d_s8_N1xIC8xIH64xIW64xOC24xOH64xOW64xKH1xKW1xSH1xSW1xPH0xPW0,,,1.381991,ms,1381991.000000,0,,firesim,conv2d_s8,N=1;IC=8;IH=64;IW=64;OC=24;OH=64;OW=64;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1381991,1,,
13,fastdepth_wls$dispatch_13_V256D128_rvv_relu6_s8_n98304,,,0.028245,ms,28245.000000,0,,firesim,relu6_s8,n=98304,28245,1,,
14,fastdepth_wls$dispatch_14_V256D128_rvv_relu6_s8_n98304,,,0.029794,ms,29794.000000,0,,firesim,relu6_s8,n=98304,29794,1,,
15,fastdepth_wls$dispatch_15_V256D128_rvv_depthwise_conv2d_s8_N1xIC1xIH64xIW64xOC48xOH32xOW32xKH3xKW3xSH2xSW2xPH1xPW1xDH1xDW1xgroups48,,,2.565478,ms,2565478.000000,0,,firesim,depthwise_conv2d_s8,N=1;IC=1;IH=64;IW=64;OC=48;OH=32;OW=32;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1;DH=1;DW=1;groups=48,2565478,1,,
16,fastdepth_wls$dispatch_16_V256D128_rvv_relu6_s8_n24576,,,0.006732,ms,6732.000000,0,,firesim,relu6_s8,n=24576,6732,1,,
17,fastdepth_wls$dispatch_17_V256D128_rvv_relu6_s8_n24576,,,0.007237,ms,7237.000000,0,,firesim,relu6_s8,n=24576,7237,1,,
18,fastdepth_wls$dispatch_18_V256D128_rvv_conv2d_s8_N1xIC48xIH32xIW32xOC4xOH32xOW32xKH1xKW1xSH1xSW1xPH0xPW0,,,1.149455,ms,1149455.000000,0,,firesim,conv2d_s8,N=1;IC=48;IH=32;IW=32;OC=4;OH=32;OW=32;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1149455,1,,
19,fastdepth_wls$dispatch_19_V256D128_rvv_conv2d_s8_N1xIC48xIH32xIW32xOC4xOH32xOW32xKH1xKW1xSH1xSW1xPH0xPW0,,,1.148192,ms,1148192.000000,0,,firesim,conv2d_s8,N=1;IC=48;IH=32;IW=32;OC=4;OH=32;OW=32;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1148192,1,,
20,fastdepth_wls$dispatch_20_V256D128_rvv_conv2d_s8_N1xIC8xIH32xIW32xOC24xOH32xOW32xKH1xKW1xSH1xSW1xPH0xPW0,,,0.324713,ms,324713.000000,0,,firesim,conv2d_s8,N=1;IC=8;IH=32;IW=32;OC=24;OH=32;OW=32;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,324713,1,,
21,fastdepth_wls$dispatch_21_V256D128_rvv_conv2d_s8_N1xIC8xIH32xIW32xOC24xOH32xOW32xKH1xKW1xSH1xSW1xPH0xPW0,,,0.323007,ms,323007.000000,0,,firesim,conv2d_s8,N=1;IC=8;IH=32;IW=32;OC=24;OH=32;OW=32;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,323007,1,,
22,fastdepth_wls$dispatch_22_V256D128_rvv_relu6_s8_n24576,,,0.006694,ms,6694.000000,0,,firesim,relu6_s8,n=24576,6694,1,,
23,fastdepth_wls$dispatch_23_V256D128_rvv_relu6_s8_n24576,,,0.006769,ms,6769.000000,0,,firesim,relu6_s8,n=24576,6769,1,,
24,fastdepth_wls$dispatch_24_V256D128_rvv_depthwise_conv2d_s8_N1xIC1xIH32xIW32xOC48xOH32xOW32xKH3xKW3xSH1xSW1xPH1xPW1xDH1xDW1xgroups48,,,1.411681,ms,1411681.000000,0,,firesim,depthwise_conv2d_s8,N=1;IC=1;IH=32;IW=32;OC=48;OH=32;OW=32;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1;DH=1;DW=1;groups=48,1411681,1,,
25,fastdepth_wls$dispatch_25_V256D128_rvv_relu6_s8_n24576,,,0.006705,ms,6705.000000,0,,firesim,relu6_s8,n=24576,6705,1,,
26,fastdepth_wls$dispatch_26_V256D128_rvv_relu6_s8_n24576,,,0.007021,ms,7021.000000,0,,firesim,relu6_s8,n=24576,7021,1,,
