dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,cycles_n,cycles_cv_pct,implementation
0,fastdepth_wls$dispatch_0_gemmini_q31_conv2d_s8_N1xIC3xIH128xIW128xOC4xOH64xOW64xKH3xKW3xSH2xSW2xPH1xPW1,,,0.736550,ms,736550.000000,0,,firesim,conv2d_s8,N=1;IC=3;IH=128;IW=128;OC=4;OH=64;OW=64;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,736550,1,,
1,fastdepth_wls$dispatch_1_gemmini_q31_conv2d_s8_N1xIC3xIH128xIW128xOC4xOH64xOW64xKH3xKW3xSH2xSW2xPH1xPW1,,,0.673855,ms,673855.000000,0,,firesim,conv2d_s8,N=1;IC=3;IH=128;IW=128;OC=4;OH=64;OW=64;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,673855,1,,
2,fastdepth_wls$dispatch_2_gemmini_q31_relu6_s8_n16384,,,0.233169,ms,233169.000000,0,,firesim,relu6_s8,n=16384,233169,1,,
3,fastdepth_wls$dispatch_3_gemmini_q31_relu6_s8_n16384,,,0.232084,ms,232084.000000,0,,firesim,relu6_s8,n=16384,232084,1,,
4,fastdepth_wls$dispatch_4_gemmini_q31_depthwise_conv2d_s8_N1xIC1xIH64xIW64xOC8xOH64xOW64xKH3xKW3xSH1xSW1xPH1xPW1xDH1xDW1xgroups8,,,6.817989,ms,6817989.000000,0,,firesim,depthwise_conv2d_s8,N=1;IC=1;IH=64;IW=64;OC=8;OH=64;OW=64;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1;DH=1;DW=1;groups=8,6817989,1,,
5,fastdepth_wls$dispatch_5_gemmini_q31_relu6_s8_n16384,,,0.231098,ms,231098.000000,0,,firesim,relu6_s8,n=16384,231098,1,,
6,fastdepth_wls$dispatch_6_gemmini_q31_relu6_s8_n16384,,,0.224762,ms,224762.000000,0,,firesim,relu6_s8,n=16384,224762,1,,
7,fastdepth_wls$dispatch_7_gemmini_q31_conv2d_s8_N1xIC8xIH64xIW64xOC4xOH64xOW64xKH1xKW1xSH1xSW1xPH0xPW0,,,0.466437,ms,466437.000000,0,,firesim,conv2d_s8,N=1;IC=8;IH=64;IW=64;OC=4;OH=64;OW=64;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,466437,1,,
8,fastdepth_wls$dispatch_8_gemmini_q31_conv2d_s8_N1xIC8xIH64xIW64xOC4xOH64xOW64xKH1xKW1xSH1xSW1xPH0xPW0,,,0.464944,ms,464944.000000,0,,firesim,conv2d_s8,N=1;IC=8;IH=64;IW=64;OC=4;OH=64;OW=64;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,464944,1,,
9,fastdepth_wls$dispatch_9_gemmini_q31_add_s8_n16384,,,0.567496,ms,567496.000000,0,,firesim,add_s8,n=16384,567496,1,,
10,fastdepth_wls$dispatch_10_gemmini_q31_add_s8_n16384,,,0.566316,ms,566316.000000,0,,firesim,add_s8,n=16384,566316,1,,
11,fastdepth_wls$dispatch_11_gemmini_q31_conv2d_s8_N1xIC8xIH64xIW64xOC24xOH64xOW64xKH1xKW1xSH1xSW1xPH0xPW0,,,1.123243,ms,1123243.000000,0,,firesim,conv2d_s8,N=1;IC=8;IH=64;IW=64;OC=24;OH=64;OW=64;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1123243,1,,
12,fastdepth_wls$dispatch_12_gemmini_q31_conv2d_s8_N1xIC8xIH64xIW64xOC24xOH64xOW64xKH1xKW1xSH1xSW1xPH0xPW0,,,1.126836,ms,1126836.000000,0,,firesim,conv2d_s8,N=1;IC=8;IH=64;IW=64;OC=24;OH=64;OW=64;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,1126836,1,,
13,fastdepth_wls$dispatch_13_gemmini_q31_relu6_s8_n98304,,,1.403192,ms,1403192.000000,0,,firesim,relu6_s8,n=98304,1403192,1,,
14,fastdepth_wls$dispatch_14_gemmini_q31_relu6_s8_n98304,,,1.402745,ms,1402745.000000,0,,firesim,relu6_s8,n=98304,1402745,1,,
