arm,family,pair,workload,ops,periodic_ops,combos,solver,objective,all_ops,misses,wall_s,cpsat_status,cpsat_gap,prec_viol,overlap_viol,inf_dur_assign,error
s10port,bimodal,cg,networks_bimodal_cg,33,32,2,best-of-fast,16.627,28.052,0,0.009,,,0,0,0,
s10port,bimodal,cg,networks_bimodal_cg,33,32,2,cpsat,16.627,28.052,0,0.347,OPTIMAL,0.0,0,0,0,
s10port,bimodal,cg,networks_bimodal_cg,33,32,2,cpsat:warm,16.627,28.052,0,0.319,OPTIMAL,0.0,0,0,0,
s10port,bimodal,cg,networks_bimodal_cg,33,32,2,cpsat:warmbest,16.627,28.052,0,0.327,OPTIMAL,0.0,0,0,0,
s10port,bimodal,cg,networks_bimodal_cg,33,32,2,decomposed,41.916,41.916,0,0.002,,,0,0,0,
s10port,bimodal,cg,networks_bimodal_cg,33,32,2,greedy,41.916,41.916,0,0.001,,,0,0,0,
s10port,bimodal,cg,networks_bimodal_cg,33,32,2,greedy_periodic,41.916,41.916,0,0.001,,,0,0,0,
s10port,bimodal,cg,networks_bimodal_cg,33,32,2,greedy_reserved,41.916,41.916,0,0.002,,,0,0,0,
s10port,bimodal,cg,networks_bimodal_cg,33,32,2,heft,16.627,28.052,0,0.001,,,0,0,0,
s10port,bimodal,cg,networks_bimodal_cg,33,32,2,heft_edf,16.627,28.052,0,0.002,,,0,0,0,
s10port,bimodal,cg,networks_bimodal_cg,33,32,2,pso,16.627,28.052,0,0.112,,,0,0,0,
s10port,bimodal,cg,networks_bimodal_cg,33,32,2,sa,16.627,28.052,0,0.187,,,0,0,0,
s10port,bimodal,dc,networks_bimodal_dc,33,32,2,best-of-fast,8.691,32.454,0,0.007,,,0,0,0,
s10port,bimodal,dc,networks_bimodal_dc,33,32,2,cpsat,8.691,32.454,0,0.344,OPTIMAL,0.0,0,0,0,
s10port,bimodal,dc,networks_bimodal_dc,33,32,2,cpsat:warm,8.691,32.454,0,0.337,OPTIMAL,0.0,0,0,0,
s10port,bimodal,dc,networks_bimodal_dc,33,32,2,cpsat:warmbest,8.691,32.454,0,0.345,OPTIMAL,0.0,0,0,0,
s10port,bimodal,dc,networks_bimodal_dc,33,32,2,decomposed,8.691,32.454,0,0.001,,,0,0,0,
s10port,bimodal,dc,networks_bimodal_dc,33,32,2,greedy,8.691,32.454,0,0.001,,,0,0,0,
s10port,bimodal,dc,networks_bimodal_dc,33,32,2,greedy_periodic,8.691,32.454,0,0.001,,,0,0,0,
