entry_id,network,instance,dispatch_id,op,name,core_kind,hart,predicted_start_ms,predicted_duration_ms,worker_kind_idx,worker_hart,actual_start_cycles,actual_end_cycles
0,dronet,0,0,conv2d_s8,conv_modules.0,rvv_c1,5,0.000000,1.878542,2,5,30240,98514
1,ffn_block,0,0,layernorm_s8,ln,rvv,3,0.000000,0.730583,0,3,7322,44656
2,fused_full,0,0,conv2d_s8,vision_cnn.0,rvv,2,0.000000,0.512750,0,2,14620,42181
3,fused_full,0,6,conv2d_s8,depth_conv.0,rvv,1,0.000000,0.035208,0,1,21388,29336
4,mlp_control,0,0,linear_s8,mlp.0,rvv,0,0.000000,0.028667,0,0,25515,30493
5,yolov8_nano_64x96,0,0,conv2d_batchnorm2d_silu_s8,l0.conv,rvv_c1,4,0.000000,1.204042,2,4,34996,77550
6,mlp_control,0,1,elu_s8,mlp.1,rvv,0,0.028667,0.015125,0,0,30544,31085
7,fused_full,0,7,conv2d_s8,depth_conv.2,rvv,1,0.035208,0.112583,0,1,29424,33497
8,mlp_control,0,2,linear_s8,mlp.2,rvv,0,0.043792,0.018458,0,0,31114,31604
9,mlp_control,0,3,elu_s8,mlp.3,rvv,0,0.062250,0.008250,0,0,31637,31909
10,mlp_control,0,4,linear_s8,mlp.4,rvv,0,0.070500,0.006250,0,0,31931,32161
11,mlp_control,0,5,elu_s8,mlp.5,rvv,0,0.076750,0.005125,0,0,32185,32381
12,mlp_control,0,6,linear_s8,mlp.6,rvv,0,0.081875,0.001125,0,0,32408,32479
13,fused_full,0,8,cast_i8_to_f16,flatten_1__cast_f16,rvv,0,0.147791,0.000917,0,0,34246,34349
14,fused_full,0,9,linear_f16,depth_fc,rvv,0,0.148708,0.027208,0,0,34376,45873
15,fused_full,0,1,conv2d_s8,vision_cnn.2,rvv,0,0.512750,0.662500,0,0,46036,69617
16,ffn_block,0,1,linear_s8,fc1,rvv_c1,6,0.730583,14.125333,2,6,45345,451743
17,fused_full,0,2,conv2d_s8,vision_cnn.4,rvv,0,1.175250,0.743458,0,0,69705,91912
18,yolov8_nano_64x96,0,1,conv2d_batchnorm2d_silu_s8,l1.conv,rvv,2,1.204042,1.453583,0,2,78709,116488
19,dronet,0,1,maxpool2d_s8,maxpool1,rvv,1,1.878542,0.712500,0,1,99536,119534
20,fused_full,0,3,conv2d_s8,vision_cnn.6,rvv,0,1.918708,0.434958,0,0,91951,107452
21,fused_full,0,4,cast_i8_to_f16,flatten__cast_f16,rvv,0,2.353666,0.001667,0,0,107500,107748
22,fused_full,0,5,linear_f16,vision_fc,rvv,3,2.355333,0.329167,0,3,108484,207810
23,dronet,0,2,batchnorm2d_s8,bn_modules.0,rvv,0,2.591042,0.031917,0,0,120616,123444
24,dronet,0,5,conv2d_s8,conv_modules.3,rvv,1,2.591042,0.165958,0,1,119899,126569
25,dronet,0,3,conv2d_batchnorm2d_s8,conv_modules.1,rvv_c1,4,2.622959,1.167000,2,4,124569,161083
26,yolov8_nano_64x96,0,2,conv2d_batchnorm2d_silu_s8,l2.cv1.conv,rvv,2,2.657625,0.904792,0,2,116575,148195
27,fused_full,0,10,cat3_c1_f16,cat,rvv,0,2.684500,0.001833,0,0,209289,209400
28,fused_full,0,11,lstm_f16,lstm.l0,rvv,0,2.686333,0.301458,0,0,209434,275442
29,fused_full,0,12,lstm_f16,lstm.l1,rvv,0,2.987791,0.228875,0,0,275600,303644
30,fused_full,0,13,lstm_f16,lstm.l2,rvv,0,3.216666,0.228417,0,0,303726,326788
31,fused_full,0,14,linear_f16,head,rvv,0,3.445083,0.000875,0,0,326862,326918
32,yolov8_nano_64x96,0,-1,chunk2_c1,chunk,rvv,0,3.562417,0.000000,-1,-1,0,0
33,yolov8_nano_64x96,0,3,conv2d_batchnorm2d_silu_s8,l2.m0.cv1.conv,rvv,2,3.562417,1.128625,0,2,328537,356585
34,dronet,0,4,conv2d_s8,conv_modules.2,rvv,0,3.789959,0.692292,0,0,327522,358546
35,dronet,0,6,add_s8,add,rvv,0,4.482251,0.033375,0,0,358589,360440
36,dronet,0,10,conv2d_s8,conv_modules.6,rvv,1,4.515626,0.075208,0,1,361253,368512
37,dronet,0,7,batchnorm2d_s8,bn_modules.2,rvv,0,4.515626,0.011667,0,0,360821,361629
38,dronet,0,8,conv2d_batchnorm2d_s8,conv_modules.4,rvv,3,4.527293,0.618875,0,3,362621,380737
39,yolov8_nano_64x96,0,4,conv2d_batchnorm2d_silu_s8,l2.m0.cv2.conv,rvv_c1,4,4.691042,1.116583,2,4,357647,385100
40,fused_full,1,0,conv2d_s8,vision_cnn.0,rvv,2,5.000000,0.512750,0,2,356941,371487
