seed,cruise_speed,sim_dt,decimation,control_dt_ms,sched_latency_ms,percep_latency_ms,percep_delay_steps,percep_hold_ms,percep_refresh,walk_speed,hold_steps,eff_cmd_hz,moment_scale,gust,motor_tau,pipeline_zoh,gates_passed,steps,K,outcome,crash_type
1000,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,156,4,crash,ground
1001,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,114,4,crash,ground
1002,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,154,4,crash,ground
1003,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,94,4,crash,ground
1004,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,89,4,crash,ground
1005,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,71,4,crash,ground
1006,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,90,4,crash,ground
1007,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,380,4,crash,ground
1008,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,85,4,crash,ground
1009,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,74,4,crash,ground
1010,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,85,4,crash,ground
1011,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,86,4,crash,ground
1012,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,122,4,crash,ground
1013,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,75,4,crash,ground
1014,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,90,4,crash,ground
1015,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,108,4,crash,ground
1016,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,678,4,crash,ground
1017,1.4,0.01,1,10.0,35.58,0.0,0,0.0,1,0.0,4,25.0,0.02,0.0,0.0,0,0,105,4,crash,ground
