seed,cruise_speed,sim_dt,decimation,control_dt_ms,sched_latency_ms,percep_latency_ms,percep_delay_steps,percep_hold_ms,percep_refresh,walk_speed,hold_steps,eff_cmd_hz,moment_scale,gust,motor_tau,pipeline_zoh,gates_passed,steps,K,outcome,crash_type
1000,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,3,903,4,crash,clip
1001,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,764,4,crash,clip
1002,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,2,1800,4,timeout,
1003,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,376,4,crash,clip
1004,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,903,4,crash,clip
1005,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,1800,4,timeout,
1006,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,4,1187,4,success,
1007,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,4,1158,4,success,
1008,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,336,4,crash,clip
1009,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,376,4,crash,clip
1010,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,4,1132,4,success,
1011,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,1800,4,timeout,
1012,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,318,4,crash,clip
1013,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,3,1800,4,timeout,
1014,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,423,4,crash,clip
1015,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,2,706,4,crash,clip
1016,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,363,4,crash,clip
1017,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,2,853,4,crash,clip
