seed,cruise_speed,sim_dt,decimation,control_dt_ms,sched_latency_ms,percep_latency_ms,percep_delay_steps,percep_hold_ms,percep_refresh,walk_speed,hold_steps,eff_cmd_hz,moment_scale,gust,motor_tau,pipeline_zoh,gates_passed,steps,K,outcome,crash_type
1000,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,3,814,4,crash,clip
1001,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,1018,4,success,
1002,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,1,371,4,crash,clip
1003,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,1055,4,success,
1004,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,1053,4,success,
1005,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,1,858,4,crash,clip
1006,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,1056,4,success,
1007,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,1085,4,success,
1008,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,991,4,success,
1009,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,1,1173,4,crash,clip
1010,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,1,332,4,crash,clip
1011,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,1,239,4,crash,clip
1012,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,991,4,success,
1013,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,1,999,4,crash,clip
1014,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,2,677,4,crash,clip
1015,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,2,956,4,crash,clip
1016,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,1008,4,success,
1017,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,3,964,4,crash,clip
