seed,cruise_speed,sim_dt,decimation,control_dt_ms,sched_latency_ms,percep_latency_ms,percep_delay_steps,percep_hold_ms,percep_refresh,walk_speed,hold_steps,eff_cmd_hz,moment_scale,gust,motor_tau,pipeline_zoh,gates_passed,steps,K,outcome
1000,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,1047,4,success
1001,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,2,676,4,crash
1002,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,1031,4,success
1003,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,1,415,4,crash
1004,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,1067,4,success
1005,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,1,344,4,crash
1006,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,1053,4,success
1007,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,1032,4,success
1008,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,1,357,4,crash
1009,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,1,362,4,crash
1010,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,1,342,4,crash
1011,1.4,0.01,1,10.0,4.89,0.0,0,0.0,1,0.0,1,100.0,0.005,0.0,0.0,0,4,1028,4,success
1000,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,2,984,4,crash
1001,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,794,4,crash
1002,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,446,4,crash
1003,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,423,4,crash
1004,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,1800,4,timeout
1005,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,404,4,crash
1006,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,962,4,crash
1007,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,2,726,4,crash
1008,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,643,4,crash
1009,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,340,4,crash
1010,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,397,4,crash
1011,1.4,0.01,1,10.0,12.4,0.0,0,0.0,1,0.0,2,50.0,0.01,0.0,0.0,0,1,267,4,crash
