seed,cruise_speed,sim_dt,decimation,control_dt_ms,sched_latency_ms,percep_latency_ms,percep_delay_steps,percep_hold_ms,percep_refresh,walk_speed,hold_steps,eff_cmd_hz,moment_scale,gust,motor_tau,pipeline_zoh,gates_passed,steps,K,outcome
1000,1.2,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,4,1194,4,success
1001,1.2,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,2,726,4,crash
1002,1.2,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,4,1190,4,success
1003,1.2,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,4,1249,4,success
1004,1.2,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,1,480,4,crash
1005,1.2,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,2,748,4,crash
1006,1.2,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,1,527,4,crash
1007,1.2,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,1,1199,4,crash
1008,1.2,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,4,1139,4,success
1009,1.2,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,4,1163,4,success
1010,1.2,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,4,1176,4,success
1011,1.2,0.01,1,10.0,0.0,0.0,0,0.0,1,1.5,1,100.0,0.01,0.0,0.0,0,1,775,4,crash
1000,1.2,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,2,955,4,crash
1001,1.2,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,1,447,4,crash
1002,1.2,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,0,785,4,crash
1003,1.2,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,4,1234,4,success
1004,1.2,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,4,1221,4,success
1005,1.2,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,3,1211,4,crash
1006,1.2,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,1,461,4,crash
1007,1.2,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,4,1197,4,success
1008,1.2,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,1,402,4,crash
1009,1.2,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,4,1159,4,success
1010,1.2,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,0,641,4,crash
1011,1.2,0.01,1,10.0,0.0,0.0,0,150.0,15,1.5,1,100.0,0.01,0.0,0.0,0,2,800,4,crash
