seed,cruise_speed,sim_dt,decimation,control_dt_ms,sched_latency_ms,percep_latency_ms,percep_delay_steps,percep_hold_ms,percep_refresh,walk_speed,hold_steps,eff_cmd_hz,moment_scale,gust,motor_tau,pipeline_zoh,gates_passed,steps,K,outcome,crash_type
1000,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,4,1477,4,success,
1001,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,1,503,4,crash,clip
1002,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,4,1374,4,success,
1003,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,2,892,4,crash,clip
1004,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,3,1800,4,timeout,
1005,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,2,1079,4,crash,clip
1000,1.0,0.01,1,10.0,18.0,0.0,0,0.0,1,0.0,2,50.0,0.0055,0.0,0.0,0,4,1419,4,success,
1001,1.0,0.01,1,10.0,18.0,0.0,0,0.0,1,0.0,2,50.0,0.0055,0.0,0.0,0,3,1211,4,crash,clip
1002,1.0,0.01,1,10.0,18.0,0.0,0,0.0,1,0.0,2,50.0,0.0055,0.0,0.0,0,4,1423,4,success,
1003,1.0,0.01,1,10.0,18.0,0.0,0,0.0,1,0.0,2,50.0,0.0055,0.0,0.0,0,3,1325,4,crash,clip
1004,1.0,0.01,1,10.0,18.0,0.0,0,0.0,1,0.0,2,50.0,0.0055,0.0,0.0,0,4,1421,4,success,
1005,1.0,0.01,1,10.0,18.0,0.0,0,0.0,1,0.0,2,50.0,0.0055,0.0,0.0,0,4,1375,4,success,
1000,1.0,0.01,1,10.0,28.0,0.0,0,0.0,1,0.0,3,33.33,0.0055,0.0,0.0,0,2,729,4,crash,clip
1001,1.0,0.01,1,10.0,28.0,0.0,0,0.0,1,0.0,3,33.33,0.0055,0.0,0.0,0,1,1800,4,timeout,
1002,1.0,0.01,1,10.0,28.0,0.0,0,0.0,1,0.0,3,33.33,0.0055,0.0,0.0,0,1,573,4,crash,clip
1003,1.0,0.01,1,10.0,28.0,0.0,0,0.0,1,0.0,3,33.33,0.0055,0.0,0.0,0,4,1616,4,success,
1004,1.0,0.01,1,10.0,28.0,0.0,0,0.0,1,0.0,3,33.33,0.0055,0.0,0.0,0,1,1743,4,crash,clip
1005,1.0,0.01,1,10.0,28.0,0.0,0,0.0,1,0.0,3,33.33,0.0055,0.0,0.0,0,1,469,4,crash,clip
1000,1.0,0.01,1,10.0,38.0,0.0,0,0.0,1,0.0,4,25.0,0.0055,0.0,0.0,0,4,1543,4,success,
1001,1.0,0.01,1,10.0,38.0,0.0,0,0.0,1,0.0,4,25.0,0.0055,0.0,0.0,0,1,281,4,crash,clip
1002,1.0,0.01,1,10.0,38.0,0.0,0,0.0,1,0.0,4,25.0,0.0055,0.0,0.0,0,4,1591,4,success,
1003,1.0,0.01,1,10.0,38.0,0.0,0,0.0,1,0.0,4,25.0,0.0055,0.0,0.0,0,1,1789,4,crash,clip
