seed,cruise_speed,sim_dt,decimation,control_dt_ms,sched_latency_ms,percep_latency_ms,percep_delay_steps,percep_hold_ms,percep_refresh,walk_speed,hold_steps,eff_cmd_hz,moment_scale,gust,motor_tau,pipeline_zoh,gates_passed,steps,K,outcome,crash_type
1000,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,4,1414,4,success,
1001,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,1,450,4,crash,clip
1002,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,1,496,4,crash,clip
1003,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,4,1457,4,success,
1004,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,1,385,4,crash,clip
1005,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,4,1417,4,success,
1006,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,3,1147,4,crash,clip
1007,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,2,749,4,crash,clip
1008,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,4,1361,4,success,
1009,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,4,1389,4,success,
1010,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,4,1439,4,success,
1011,1.0,0.01,1,10.0,8.0,0.0,0,0.0,1,0.0,1,100.0,0.0055,0.0,0.0,0,4,1439,4,success,
