seed,cruise_speed,sim_dt,decimation,control_dt_ms,sched_latency_ms,hold_steps,eff_cmd_hz,moment_scale,gates_passed,steps,K,outcome
1000,1.0,0.001,40,40.0,0.0,1,25.0,0.02,0,20,4,crash
1001,1.0,0.001,40,40.0,0.0,1,25.0,0.02,0,23,4,crash
1002,1.0,0.001,40,40.0,0.0,1,25.0,0.02,0,20,4,timeout
1003,1.0,0.001,40,40.0,0.0,1,25.0,0.02,0,29,4,timeout
1004,1.0,0.001,40,40.0,0.0,1,25.0,0.02,0,163,4,crash
1005,1.0,0.001,40,40.0,0.0,1,25.0,0.02,0,20,4,timeout
1006,1.0,0.001,40,40.0,0.0,1,25.0,0.02,0,24,4,timeout
1007,1.0,0.001,40,40.0,0.0,1,25.0,0.02,0,21,4,timeout
1000,1.0,0.001,30,30.0,0.0,1,33.33,0.01502,0,462,4,timeout
1001,1.0,0.001,30,30.0,0.0,1,33.33,0.01502,0,462,4,timeout
1002,1.0,0.001,30,30.0,0.0,1,33.33,0.01502,0,462,4,timeout
1003,1.0,0.001,30,30.0,0.0,1,33.33,0.01502,0,462,4,timeout
1004,1.0,0.001,30,30.0,0.0,1,33.33,0.01502,0,462,4,timeout
1005,1.0,0.001,30,30.0,0.0,1,33.33,0.01502,0,462,4,timeout
1006,1.0,0.001,30,30.0,0.0,1,33.33,0.01502,0,462,4,timeout
1007,1.0,0.001,30,30.0,0.0,1,33.33,0.01502,0,462,4,timeout
1000,1.0,0.001,20,20.0,0.0,1,50.0,0.01,3,690,4,crash
1001,1.0,0.001,20,20.0,0.0,1,50.0,0.01,1,300,4,crash
1002,1.0,0.001,20,20.0,0.0,1,50.0,0.01,1,591,4,crash
1003,1.0,0.001,20,20.0,0.0,1,50.0,0.01,1,309,4,crash
1004,1.0,0.001,20,20.0,0.0,1,50.0,0.01,1,371,4,crash
1005,1.0,0.001,20,20.0,0.0,1,50.0,0.01,1,263,4,crash
1006,1.0,0.001,20,20.0,0.0,1,50.0,0.01,1,336,4,crash
1007,1.0,0.001,20,20.0,0.0,1,50.0,0.01,3,700,4,timeout
1000,1.0,0.001,12,12.0,0.0,1,83.33,0.006,3,1134,4,timeout
1001,1.0,0.001,12,12.0,0.0,1,83.33,0.006,1,434,4,crash
1002,1.0,0.001,12,12.0,0.0,1,83.33,0.006,2,1134,4,timeout
1003,1.0,0.001,12,12.0,0.0,1,83.33,0.006,3,1134,4,timeout
1004,1.0,0.001,12,12.0,0.0,1,83.33,0.006,3,1134,4,timeout
1005,1.0,0.001,12,12.0,0.0,1,83.33,0.006,3,1090,4,crash
1006,1.0,0.001,12,12.0,0.0,1,83.33,0.006,2,852,4,crash
1007,1.0,0.001,12,12.0,0.0,1,83.33,0.006,3,1134,4,timeout
1000,1.0,0.001,10,10.0,0.0,1,100.0,0.005,3,1400,4,timeout
1001,1.0,0.001,10,10.0,0.0,1,100.0,0.005,2,1400,4,timeout
1002,1.0,0.001,10,10.0,0.0,1,100.0,0.005,3,1400,4,timeout
1003,1.0,0.001,10,10.0,0.0,1,100.0,0.005,2,1157,4,crash
1004,1.0,0.001,10,10.0,0.0,1,100.0,0.005,3,1400,4,timeout
1005,1.0,0.001,10,10.0,0.0,1,100.0,0.005,2,712,4,crash
1006,1.0,0.001,10,10.0,0.0,1,100.0,0.005,3,1400,4,timeout
1007,1.0,0.001,10,10.0,0.0,1,100.0,0.005,2,731,4,crash
1000,1.0,0.001,8,8.0,0.0,1,125.0,0.004,3,1391,4,crash
1001,1.0,0.001,8,8.0,0.0,1,125.0,0.004,2,874,4,crash
1002,1.0,0.001,8,8.0,0.0,1,125.0,0.004,3,1475,4,crash
1003,1.0,0.001,8,8.0,0.0,1,125.0,0.004,2,929,4,crash
1004,1.0,0.001,8,8.0,0.0,1,125.0,0.004,2,963,4,crash
1005,1.0,0.001,8,8.0,0.0,1,125.0,0.004,2,957,4,crash
1006,1.0,0.001,8,8.0,0.0,1,125.0,0.004,1,1293,4,crash
1007,1.0,0.001,8,8.0,0.0,1,125.0,0.004,1,906,4,crash
